"municipio","cod_ibge","ers","infectados_n","recuperados_n","obitos_n","r_025","r_500","r_975","r_mm7","n_va","p_va"
"Alta Floresta",5100250,"Alta Floresta","15","20","3",0.0458231722979075,0.198059556841271,0.535110756643139,0.929555785143613,1.44345654345654,0.866616889370757
"Alto Araguaia",5100300,"Rondonopolis","1","8","1",0.0133519561668907,0.365547869617427,1.9454194773432,0.683606793443071,NA,NA
"Aripuana",5101407,"Juina","16","8","1",0.708355742959744,1.17314842967828,1.8073295666456,2.05264863530836,4.09523809523809,1.16125928401315
"Barra do Garcas",5101803,"Barra do Garcas","43","39","5",0.873921613374896,1.44735153005025,2.22976150963858,1.08899875242404,0.272570088641517,0.736518394391309
"Caceres",5102504,"Caceres","13","19","4",0.548739723670969,1.03262911262658,1.74182494134747,1.65278583284051,6.73809523809524,1.45491007766394
"Campo Novo do Parecis",5102637,"Tangara da Serra","13","15","0",0.896210440227878,1.53539363777846,2.42444124765058,1.39998281012955,2.11428571428571,0.941153463907331
"Campo Verde",5102678,"Rondonopolis","41","22","0",1.10612228788037,1.53540855569748,2.06365157596782,1.52096558125434,NA,NA
"Campos de Julio",5102686,"Pontes e Lacerda","9","1","0",1.22915484682744,2.47828657577896,4.37917972871372,6.60852799745162,NA,NA
"Canarana",5102702,"Agua Boa","14","2","0",0.726965984596715,1.33045865639091,2.20145390091314,2.27072975842974,3.14285714285714,1.05543917819305
"Confresa",5103353,"Porto Alegre do Norte","94","29","3",1.06708767245167,1.38132368606568,1.75194756786425,1.37397563095631,1.32736622518087,0.853717965117904
"Cuiaba",5103403,"Baixada Cuiabana","709","253","13",1.09914891762568,1.22876653356688,1.36819546992219,1.13073468609226,0.352895756800617,0.745443468631209
"Guaranta do Norte",5104104,"Peixoto de Azevedo","14","2","0",0.654880783383176,1.27233769223917,2.19325060024653,1.66443367991815,NA,NA
"Jaciara",5104807,"Rondonopolis","12","33","0",0.425703880367277,0.858326527934481,1.51667937375906,0.944616963127127,-0.202825360913596,0.683696677774074
"Jangada",5104906,"Baixada Cuiabana","3","6","1",0.142075597284695,0.984488094308508,3.26822559145387,1.30021629420122,-0.142857142857143,0.69035981311368
"Lucas do Rio Verde",5105259,"Sinop","58","39","2",1.01864470514062,1.44095689373314,1.96653329933437,1.27869512420439,0.890180419994085,0.805141764541594
"Matupa",5105606,"Peixoto de Azevedo","20","0","0",0.797605254056538,1.42433490036358,2.31659813246307,2.38862476521402,NA,NA
"Nova Mutum",5106224,"Sinop","23","27","1",1.39942817336462,2.13369361750417,3.08886206653499,1.46811657022377,1.29591836734694,0.850223758691911
"Nova Ubirata",5106240,"Sinop","17","2","0",0.13936642761985,0.400969104943107,0.879178067355901,1.41365942534297,NA,NA
"Novo Mundo",5106265,"Peixoto de Azevedo","10","4","0",0.0937948966183495,0.405405709090365,1.09531172945444,1.09655106995505,NA,NA
"Pedra Preta",5106372,"Rondonopolis","13","1","0",1.31640976359221,2.65421452289399,4.69004777248633,1.63433355376625,NA,NA
"Peixoto de Azevedo",5106422,"Peixoto de Azevedo","13","20","0",0.694141578283098,1.4621953623139,2.65878324642073,1.17211706833457,0.00408163265306125,0.706686343725925
"Primavera do Leste",5107040,"Rondonopolis","118","35","0",1.06412630904449,1.37173259127947,1.73360522947651,1.20800578564465,0.31629296267221,0.741376491505831
"Querencia",5107065,"Agua Boa","9","17","1",0.903823649223481,1.65413516373437,2.73702778462789,1.77481702621256,3.4047619047619,1.08453970729357
"Rondonopolis",5107602,"Rondonopolis","190","54","9",0.872692601127705,1.07863582983307,1.31469122765927,1.35866660679343,1.52271769157878,0.875423683606561
"Rosario Oeste",5107701,"Diamantino","13","31","1",0.427990617269308,0.950355036062666,1.78722341296299,0.950098065558683,-0.165909090909091,0.687798485552353
"Sapezal",5107875,"Tangara da Serra","18","13","0",0.965087212916995,1.48538910189954,2.16595303392477,1.83904620920446,NA,NA
"Sinop",5107909,"Sinop","48","32","3",1.41805044796754,1.97715283924585,2.66697188462965,1.59148179269963,2.8261322011322,1.02024751800139
"Sorriso",5107925,"Sinop","100","34","0",1.53425540876708,1.938771577985,2.40884660373942,1.56750366707396,2.99843668236525,1.03939246036061
"Tangara da Serra",5107958,"Tangara da Serra","80","71","1",0.899600841107833,1.18692537530706,1.52978368813477,1.12073446878987,0.351106144624474,0.74524462283386
"Tapurah",5108006,"Sinop","25","5","0",2.70778217734963,4.3593244774401,6.57652189121698,1.93649312338367,NA,NA
"Varzea Grande",5108402,"Baixada Cuiabana","206","102","16",1.06022259613928,1.27321393977131,1.51299012580437,1.17372455288267,0.612513269771551,0.774289858961313
"Vila Bela da Santissima Trindade",5105507,"Pontes e Lacerda","12","2","0",1.38772567107023,2.61144922897112,4.40495754425764,2.35626462955178,2.71428571428571,1.007820130574
"Vila Rica",5108600,"Porto Alegre do Norte","23","0","0",0.899176976679042,1.69208876899002,2.85419264744918,1.41816714311769,NA,NA
